,Years,"Male General Marriage Rate * (Per 1,000 Unmarried Resident Males Aged 15-49)","40 - 44 Years (Per 1,000 Unmarried Resident Males)","45 - 49 Years (Per 1,000 Unmarried Resident Males)","50 - 54 Years (Per 1,000 Unmarried Resident Males)","55 - 59 Years (Per 1,000 Unmarried Resident Males)","60 - 64 Years (Per 1,000 Unmarried Resident Males)","65 Years & Over (Per 1,000 Unmarried Resident Males)","Female General Marriage Rate * (Per 1,000 Unmarried Resident Females Aged 15-49)","40 - 44 Years (Per 1,000 Unmarried Resident Females)","45 - 49 Years (Per 1,000 Unmarried Resident Females)","50 - 54 Years (Per 1,000 Unmarried Resident Females)","55 - 59 Years (Per 1,000 Unmarried Resident Females)","60 - 64 Years (Per 1,000 Unmarried Resident Females)","65 Years & Over (Per 1,000 Unmarried Resident Females)"
19,2003,44.9,41.7,29.3,21.5,16.9,7.5,2.2,43.7,15.9,8.9,3.4,2.1,0.5,0
20,2002,47.5,42.5,30.8,17.8,19.1,10.8,2.5,45.8,14.1,7.9,3.4,2.2,0.6,0.1
21,2001,46.7,44.8,30.3,23.2,16.5,10.5,3.2,44.1,14.8,7.4,3.4,1.8,1.0,0.1
22,2000,47.4,43.8,30.9,21.0,15.5,12.1,3,46.8,17.2,8.2,4.2,1.6,0.8,0.2
23,1999,54.7,49.8,36.6,30.9,18.1,10.4,2.8,54.8,18.0,9.7,4.6,1.7,1.1,0.1
24,1998,49.4,49.4,32.9,25.9,18.0,10.2,2.5,47.9,16.8,8.5,5.0,1.3,0.7,0.1
25,1997,56.7,47.4,35.5,25.9,14.7,10.9,3.1,58.4,19.6,9.9,5.3,1.6,0.9,0.2
26,1996,53.2,52.0,34.6,21.9,13.8,8.0,2.9,52.6,19.0,8.2,3.6,1.3,0.7,0.1
27,1995,54.6,54.8,35.2,19.0,16.6,11.1,3.2,54.9,16.9,8.3,3.3,2.6,0.6,0.1
28,1994,54.7,55.8,39.0,23.6,18.4,9.0,2.4,56.1,16.7,9.9,3.2,1.3,0.4,0.2
29,1993,55.3,52.7,40.2,26.9,23.2,9.7,3.3,57.4,17.9,10.9,3.3,1.5,0.6,0.1
30,1992,56.7,50.4,38.5,25.6,14.4,7.7,2.3,59.0,17.5,9.2,3.7,1.2,0.4,0.1
31,1991,55.5,51.2,33.9,22.7,13.6,9.1,3,61.5,15.6,8.8,3.8,1.3,0.6,0.1
32,1990,52.2,41.6,28.3,18.1,10.1,6.3,1.8,59.2,14.7,6.7,3.6,0.8,0.3,0.1
33,1989,52.6,62.1,42.0,32.7,16.1,8.2,2.5,60.1,20.3,8.6,3.4,0.9,0.7,0.1
34,1988,56.0,59.5,32.5,24.6,13.9,12.9,2.2,65.3,20.7,7.9,3.6,1.2,0.6,0.2
35,1987,53.3,61.1,45.9,31.0,13.2,9.3,2.6,62.3,19.3,9.2,2.8,0.9,0.8,0.1
36,1986,45.6,60.6,37.7,21.1,20.1,10.2,2.2,52.6,17.3,9.3,3.7,0.9,0.4,0.1
37,1985,54.3,54.5,45.8,17.3,12.4,9.0,2.1,62.5,18.5,7.2,3.3,1.1,0.2,0.1
38,1984,57.7,65.1,48.3,26.6,17.0,11.7,1.9,66.3,16.7,8.4,2.8,1.2,0.6,0.1
39,1983,46.9,59.4,46.0,24.1,15.4,4.1,na,56.4,19.1,9.6,3.3,1.5,0.2,na
40,1982,54.5,87.3,58.9,31.1,28.7,5.8,na,63.9,23.7,11.3,3.0,1.9,0.3,na
41,1981,58.4,94.6,60.4,38.8,34.2,6.7,na,68.7,26.2,14.4,3.8,3.2,0.2,na
42,1980,54.9,62.8,42.3,25.8,18.6,4.7,na,67.3,22.0,9.2,2.6,2.1,0.3,na
