Data Series,Grooms - Total Marriages (Years),Grooms - First Marriages (Years),Grooms - Remarriages (Years),Brides - Total Marriages (Years),Brides - First Marriages (Years),Brides - Remarriages (Years)
2022,31.6,30.7,44.6,29.9,29.3,39.3
2021,31.2,30.5,42.4,29.6,29.1,37.6
2020,31.2,30.4,43.3,29.4,28.8,38
2019,31.4,30.4,44.2,29.4,28.8,38.3
2018,31.1,30.2,43.8,29.1,28.5,37.9
2017,31,30,43.3,29,28.4,37.4
2016,31.2,30.3,43.3,28.8,28.3,37.1
2015,31.3,30.3,43.3,28.9,28.2,37.5
2014,31.2,30.2,42.7,28.8,28.2,37
2013,31.3,30.2,42.5,28.8,28.1,36.6
2012,31.2,30.1,42.1,28.6,28,36.4
2011,31.2,30.1,41.8,28.6,28,36.5
2010,31.2,30,41.8,28.3,27.7,36.3
2009,31,29.8,41.8,28.1,27.5,35.7
2008,30.9,29.8,41.4,28,27.3,35.5
2007,30.9,29.8,41.3,27.9,27.2,35.1
2006,30.7,29.7,41.1,27.6,27,35.1
2005,30.9,29.8,41.1,27.5,26.9,34.8
2004,30.3,29.4,40.5,27.3,26.7,34.7
2003,29.9,29.1,40.2,27,26.6,34.2
2002,29.6,28.9,40.1,26.7,26.3,34.1
2001,29.5,28.8,40.1,26.7,26.2,34.2
2000,29.4,28.7,40.2,26.7,26.2,34.5
1999,29.1,28.5,39.8,26.4,26,34.2
1998,29.1,28.4,39.4,26.2,25.8,33.6
1997,29,28.4,38.9,26.1,25.7,33.8
1996,29.2,28.6,39.3,26.1,25.8,33.6
1995,29.1,28.6,38.8,26,25.6,33.6
1994,29.1,28.5,38.5,26,25.6,33.4
1993,29,28.5,38.6,25.9,25.6,33.1
1992,28.8,28.3,37.7,25.8,25.5,32.5
1991,28.4,28.1,37.8,25.6,25.3,32.7
1990,28.4,28,38,25.6,25.3,32.6
1989,28.1,27.8,37.5,25.3,25,31.7
1988,28,27.7,37,25.1,24.9,32.2
1987,27.9,27.6,37.5,25,24.8,32
1986,27.6,27.2,37.7,24.7,24.5,32.1
1985,27.3,27.1,36.3,24.5,24.3,31.4
1984,27.3,27,36.4,24.4,24.2,31.7
1983,27.3,27,37,24,23.9,32
1982,27.2,26.9,36.9,23.9,23.8,32.1
1981,27.1,26.8,37.6,23.8,23.7,32
1980,27,26.7,37.8,23.7,23.6,32.4
1979,27,26.7,37.9,23.6,23.5,33.7
1978,26.9,26.7,38.5,23.6,23.5,33.6
1977,26.8,26.6,38.6,23.4,23.3,32.4
1976,26.6,26.5,39.6,23.3,23.2,33.8
1975,26.5,26.4,39,23.2,23.1,32.4
1974,27.1,26.9,39.9,23.3,23.2,34
1973,27,26.9,38.8,23.3,23.2,32.3
1972,26.9,26.7,39.1,23.2,23.2,33.2
1971,26.8,26.6,39.2,23.1,23,32.7
1970,27.1,26.9,39.7,23.2,23.1,32.7
1969,27.2,27.1,39.5,23.2,23.1,33.3
1968,27.3,27.2,37.6,23.2,23.1,32.5
1967,27.5,27.3,37.8,23.3,23.2,29.2
1966,27.6,27.3,37.9,23.3,23.2,29.4
1965,27.6,27.3,36.9,23.2,23.1,29.6
1964,27.5,27.3,38.6,23.2,23,29.5
1963,27.4,27.2,38.9,23.1,22.9,30
1962,27.4,27.1,36.2,23,22.8,29
1961,27.3,26.9,36.8,22.8,22.5,28
